nombre_p,precios_p,stock_p,links_p
"Extensor Cable Riser PEC 300 PCI-E x16 ,Video NVIDIA GeForce n210 1024MB DDR3,Video NVIDIA GeForce GT710 1GB GDDR5,Video NVIDIA GeForce GT710 SL-2GD5-CSM,Video NVIDIA GT730 2GB Low Profile,Video NVIDIA GT730K 2GB D3H/LPV1,Video NVIDIA GT730 2GB SL BRK,Video NVIDIA GeForce GT1030 2GB DDR4,Video NVIDIA GeForce GT1030 2GB Phoenix,Video AMD Radeon PRO WX2100 2GB,Video NVIDIA Quadro P400 2GB GDDR5 V2,Video NVIDIA Quadro T400 2GB GDDR6,Video NVIDIA Quadro P620 V2 2GB GDDR5,Video NVIDIA Quadro T600 4GB GDDR6,Video NVIDIA GeForce GTX1650 4GB StormX,Video NVIDIA GeForce GTX1050Ti 4GT OC,Video NVIDIA GeForce GTX1050Ti 4GB D5,Video NVIDIA GeForce GTX1050Ti 4GB PHOENIX Fan,Video NVIDIA GeForce GTX1050Ti 4GB Low Profile OC,Video NVIDIA GeForce GTX1650 4GB GP,Video NVIDA GeForce GTX1650 4GB Ex-Click OC,Video NVIDIA GeForce GTX1650 4GB D6 Ventus XS OC,Video NVIDIA GeForce GTX1650 4GB WindForce D6 v2.0,Video NVIDIA GeForce GTX1650 O4GB Dual ,Video NVIDA GeForce GTX1650 4GB XS Ventus OC,Video AMD Radeon RX 6500XT O4GB TUF Gaming ,Video NVIDIA GeForce GTX1660S 6GB Phoenix,Video NVIDIA GeForce GTX1660S 6GB Ventus XS OC,Video NVIDIA GeForce GTX1660S 6GB TUF Gaming ,Video NVIDIA GeForce GTX1660Ti 6GB StormX,Video NVIDIA GeForce GTX1660Ti 6GB Dual ,NVIDIA Minería CMP 30HX d6 6G,Video NVIDIA GeForce RTX3050 Dual 8GB ,Video NVIDIA GeForce GTX1660 6GB Dual,Video NVIDIA GeForce GTX1660Ti 1-Click OC,Video NVIDIA GeForce GTX1660Ti 6GB OC,Video NVIDIA GeForce RTX2060 6GB 1-Click OC,Video NVIDIA GeForce GTX1660Ti O6GB TUF EVO,Video AMD Radeon RX 6600 Dual 8GB,Video NVIDIA GeForce RTX2060 Dual O6G EVO,Video AMD RX 6600XT O8GB Dual,Video AMD RX 6600XT O8GB Rog Strix Gaming,Video NVIDIA GeForce RTX3060 12GB 1-Click OC,Video NVIDIA GeForce RTX3060 12GB Dual ,Video NVIDIA GeForce RTX3060 12GB Ventus 2X OC,Video NVIDIA GeForce RTX3060 12GB Eagle OC,Video NVIDIA GeForce RTX3060 12GB Vision OC,Video NVIDIA GeForce RTX3060Ti 8GB 1-Click OC LHR","$ 29.990,$ 49.990,$ 59.990,$ 84.990,$ 95.990,$ 99.990,$ 99.990,$ 149.990,$ 159.990,$ 169.990,$ 179.990,$ 189.990,$ 269.990,$ 269.990,$ 289.990,$ 299.990,$ 299.990,$ 329.990,$ 329.990,$ 339.990,$ 379.990,$ 399.990,$ 399.990,$ 399.990,$ 399.990,$ 439.990,$ 499.990,$ 559.990,$ 569.990,$ 599.990,$ 599.990,$ 599.990,$ 599.990,$ 609.990,$ 629.990,$ 649.990,$ 649.990,$ 649.990,$ 659.990,$ 699.990,$ 729.990,$ 759.990,$ 799.990,$ 799.990,$ 809.990,$ 839.990,$ 889.990,$ 919.990","13 Unid.,1 Unid.,+100 Unid.,17 Unid.,+100 Unid.,25 Unid.,+100 Unid.,4 Unid.,15 Unid.,+30 Unid.,4 Unid.,24 Unid.,1 Unid.,15 Unid.,+100 Unid.,+50 Unid.,8 Unid.,+50 Unid.,1 Unid.,+50 Unid.,+50 Unid.,1 Unid.,+50 Unid.,+50 Unid.,+50 Unid.,+50 Unid.,11 Unid.,16 Unid.,10 Unid.,+30 Unid.,+50 Unid.,+100 Unid.,+30 Unid.,16 Unid.,12 Unid.,+30 Unid.,2 Unid.,19 Unid.,5 Unid.,2 Unid.,19 Unid.,8 Unid.,24 Unid.,18 Unid.,2 Unid.,1 Unid.,1 Unid.,4 Unid.","/producto/35084-deepcool-extensor-cable-riser-pec-300-pci-e-x16,/producto/15614-msi-video-nvidia-geforce-n210-1024mb-ddr3,/producto/36075-asus-video-nvidia-geforce-gt710-1gb-gddr5,/producto/26690-asus-video-nvidia-geforce-gt710-sl-2gd5-csm,/producto/43493-palit-video-nvidia-gt730-2gb-low-profile,/producto/42354-msi-video-nvidia-gt730k-2gb-d3h-lpv1,/producto/44350-asus-video-nvidia-gt730-2gb-sl-brk,/producto/43751-palit-video-nvidia-geforce-gt1030-2gb-ddr4,/producto/35635-asus-video-nvidia-geforce-gt1030-2gb-phoenix,/producto/42900-amd-video-amd-radeon-pro-wx2100-2gb,/producto/37862-pny-video-nvidia-quadro-p400-2gb-gddr5-v2,/producto/43469-pny-video-nvidia-quadro-t400-2gb-gddr6,/producto/36428-pny-video-nvidia-quadro-p620-v2-2gb-gddr5,/producto/43472-pny-video-nvidia-quadro-t600-4gb-gddr6,/producto/43750-palit-video-nvidia-geforce-gtx1650-4gb-stormx,/producto/28293-msi-video-nvidia-geforce-gtx1050ti-4gt-oc,/producto/43027-gigabyte-video-nvidia-geforce-gtx1050ti-4gb-d5,/producto/24736-asus-video-nvidia-geforce-gtx1050ti-4gb-phoenix-fan,/producto/43028-gigabyte-video-nvidia-geforce-gtx1050ti-4gb-low-profile-oc,/producto/43492-palit-video-nvidia-geforce-gtx1650-4gb-gp,/producto/43786-galax-video-nvida-geforce-gtx1650-4gb-ex-click-oc,/producto/37813-msi-video-nvidia-geforce-gtx1650-4gb-d6-ventus-xs-oc,/producto/39512-gigabyte-video-nvidia-geforce-gtx1650-4gb-windforce-d6-v2-0,/producto/33323-asus-video-nvidia-geforce-gtx1650-o4gb-dual,/producto/44256-msi-video-nvida-geforce-gtx1650-4gb-xs-ventus-oc,/producto/44916-asus-video-amd-radeon-rx-6500xt-o4gb-tuf-gaming,/producto/37103-asus-video-nvidia-geforce-gtx1660s-6gb-phoenix,/producto/38282-msi-video-nvidia-geforce-gtx1660s-6gb-ventus-xs-oc,/producto/43640-asus-video-nvidia-geforce-gtx1660s-6gb-tuf-gaming,/producto/43480-palit-video-nvidia-geforce-gtx1660ti-6gb-stormx,/producto/43491-palit-video-nvidia-geforce-gtx1660ti-6gb-dual,/producto/42726-gigabyte-nvidia-mineria-cmp-30hx-d6-6g,/producto/44816-palit-video-nvidia-geforce-rtx3050-dual-8gb,/producto/44817-palit-video-nvidia-geforce-gtx1660-6gb-dual,/producto/35241-galax-video-nvidia-geforce-gtx1660ti-1-click-oc,/producto/32555-gigabyte-video-nvidia-geforce-gtx1660ti-6gb-oc,/producto/35242-galax-video-nvidia-geforce-rtx2060-6gb-1-click-oc,/producto/43992-asus-video-nvidia-geforce-gtx1660ti-o6gb-tuf-evo,/producto/43993-asus-video-amd-radeon-rx-6600-dual-8gb,/producto/37686-asus-video-nvidia-geforce-rtx2060-dual-o6g-evo,/producto/43643-asus-video-amd-rx-6600xt-o8gb-dual,/producto/43994-asus-video-amd-rx-6600xt-o8gb-rog-strix-gaming,/producto/41325-galax-video-nvidia-geforce-rtx3060-12gb-1-click-oc,/producto/43479-palit-video-nvidia-geforce-rtx3060-12gb-dual,/producto/41214-msi-video-nvidia-geforce-rtx3060-12gb-ventus-2x-oc,/producto/42654-gigabyte-video-nvidia-geforce-rtx3060-12gb-eagle-oc,/producto/42656-gigabyte-video-nvidia-geforce-rtx3060-12gb-vision-oc,/producto/43332-galax-video-nvidia-geforce-rtx3060ti-8gb-1-click-oc-lhr"
"Video NVIDIA GeForce RTX3060Ti Dual OC V1 8GB,Video AMD RX 6700XT 12GB Mech 2X OC,Video NVIDIA GeForce RTX3070 8GB 1-Click OC LHR,Video NVIDIA GeForce RTX3060Ti 8GB EAGLE OC,Video AMD Radeon RX 6700XT ROG Strix Gaming O12G,Video NVIDIA GeForce RTX3060Ti 8GB Gaming PRO OC,Video NVIDIA GeForce RTX3070 8GB Gaming Pro,Video AMD Radeon RX 6700XT Dual O12G,Video NVIDIA GeForce RTX3060Ti 8GB Dual V1 LHR,Video NVIDIA GeForce RTX3070 8GB JetStream V1 LHR,Video NVIDIA GeForce RTX3070Ti 8GB Eagle,Video NVIDIA GeForce RTX3060Ti O8GB Rog Strix V2 Gaming,Video NVIDIA GeForce RTX3070 O8GB KO V2 LHR,Video NVIDIA GeForce RTX3070 Ventus 3X 8GB OC LHR,Video NVIDIA GeForce RTX3070Ti Gaming Pro 8GB,Video NVIDIA GeForce RTX3070Ti 8GB Eagle OC,Video NVIDIA GeForce RTX3070Ti 8GB GameRock LHR,Video NVIDIA GeForce RTX3070 O8GB Dual V2,Video NVIDIA GeForce RTX3070 8GB LHR Gaming Z Trio,Video NVIDIA GeForce RTX3070 O8GB V2 TUF Gaming LHR,Video NVIDIA GeForce RTX3070Ti 8GB FTW3 Ultra,Video NVIDIA GeForce RTX3070Ti 8GB Ventus 3X OC,Video NVIDIA GeForce RTX3070Ti 8GB Vision OC,Video NVIDIA GeForce RTX3070Ti 8GB Gaming X Trio,Video NVIDIA GeForce RTX3070Ti 8GB Rog Strix,Video NVIDIA GeForce RTX3080 10GB Eagle Gaming,Video AMD RX 6800XT O16GB Rog Strix LC Gaming,Video AMD Radeon RX 6900XT O16G TUF Gaming,Video NVIDIA GeForce RTX3080 10GB GameRock,Video NVIDIA GeForce RTX3080 O10GB Rog Strix V2,Video NVIDIA GeForce RTX3080 10GB Master V2.0,Video AMD Radeon RX 6900XT 16GB Aorus Xtreme Waterforce,Video NVIDIA GeForce RTX3080 10GB Gaming Z Trio LHR,Video NVIDIA GeForce RTX3080Ti 12GB GameRock,Video NVIDIA GeForce RTX3080Ti Gaming OC 12G,Video NVIDIA GeForce RTX3080Ti TUF Gaming O12G,Video NVIDIA GeForce RTX3080Ti 12GB Gaming X Trio,Video NVIDIA GeForce RTX3080Ti TUF Gaming 12G,Video NVIDIA GeForce RTX3080Ti Master 12G,Video AMD Radeon RX 6900XT 16GB Gaming Z Trio,Video NVIDIA GeForce RTX3080Ti O12GB Rog Strix ,Video NVIDIA GeForce RTX3080Ti 12GB Rog Strix LC Gaming,Video AMD Radeon RX 6900XT Rog Strix LC Gaming 16GB,Video NVIDIA GeForce RTX3090 O24GB TUF Gaming,Video NVIDIA RTX3090 O24GB ROG Strix ","$ 919.990,$ 929.990,$ 979.990,$ 999.990,$ 999.990,$ 1.049.990,$ 1.099.990,$ 1.099.990,$ 1.099.990,$ 1.099.990,$ 1.129.990,$ 1.149.990,$ 1.159.990,$ 1.159.990,$ 1.199.990,$ 1.199.990,$ 1.199.990,$ 1.249.990,$ 1.279.990,$ 1.279.990,$ 1.289.990,$ 1.299.990,$ 1.329.990,$ 1.349.990,$ 1.489.990,$ 1.599.990,$ 1.599.990,$ 1.599.990,$ 1.599.990,$ 1.649.990,$ 1.779.990,$ 1.799.990,$ 1.799.990,$ 1.899.990,$ 1.899.990,$ 1.999.990,$ 1.999.990,$ 1.999.990,$ 2.184.990,$ 2.299.990,$ 2.349.990,$ 2.499.990,$ 2.599.990,$ 2.899.990,$ 2.999.990","19 Unid.,1 Unid.,29 Unid.,6 Unid.,8 Unid.,15 Unid.,+30 Unid.,29 Unid.,+50 Unid.,18 Unid.,1 Unid.,24 Unid.,26 Unid.,7 Unid.,19 Unid.,5 Unid.,+30 Unid.,4 Unid.,3 Unid.,2 Unid.,1 Unid.,18 Unid.,2 Unid.,29 Unid.,1 Unid.,+30 Unid.,5 Unid.,1 Unid.,13 Unid.,1 Unid.,1 Unid.,+50 Unid.,2 Unid.,8 Unid.,8 Unid.,7 Unid.,1 Unid.,7 Unid.,5 Unid.,10 Unid.,2 Unid.,1 Unid.,5 Unid.,5 Unid.,14 Unid.","/producto/43478-palit-video-nvidia-geforce-rtx3060ti-dual-oc-v1-8gb,/producto/41138-msi-video-amd-rx-6700xt-12gb-mech-2x-oc,/producto/44368-galax-video-nvidia-geforce-rtx3070-8gb-1-click-oc-lhr,/producto/39999-gigabyte-video-nvidia-geforce-rtx3060ti-8gb-eagle-oc,/producto/41330-asus-video-amd-radeon-rx-6700xt-rog-strix-gaming-o12g,/producto/40002-gigabyte-video-nvidia-geforce-rtx3060ti-8gb-gaming-pro-oc,/producto/43749-palit-video-nvidia-geforce-rtx3070-8gb-gaming-pro,/producto/44918-asus-video-amd-radeon-rx-6700xt-dual-o12g,/producto/44257-palit-video-nvidia-geforce-rtx3060ti-8gb-dual-v1-lhr,/producto/44258-palit-video-nvidia-geforce-rtx3070-8gb-jetstream-v1-lhr,/producto/42665-gigabyte-video-nvidia-geforce-rtx3070ti-8gb-eagle,/producto/43636-asus-video-nvidia-geforce-rtx3060ti-o8gb-rog-strix-v2-gaming,/producto/44917-asus-video-nvidia-geforce-rtx3070-o8gb-ko-v2-lhr,/producto/44527-msi-video-nvidia-geforce-rtx3070-ventus-3x-8gb-oc-lhr,/producto/43748-palit-video-nvidia-geforce-rtx3070ti-gaming-pro-8gb,/producto/42663-gigabyte-video-nvidia-geforce-rtx3070ti-8gb-eagle-oc,/producto/44259-palit-video-nvidia-geforce-rtx3070ti-8gb-gamerock-lhr,/producto/43635-asus-video-nvidia-geforce-rtx3070-o8gb-dual-v2,/producto/42448-msi-video-nvidia-geforce-rtx3070-8gb-lhr-gaming-z-trio,/producto/43634-asus-video-nvidia-geforce-rtx3070-o8gb-v2-tuf-gaming-lhr,/producto/42811-evga-video-nvidia-geforce-rtx3070ti-8gb-ftw3-ultra,/producto/42240-msi-video-nvidia-geforce-rtx3070ti-8gb-ventus-3x-oc,/producto/42668-gigabyte-video-nvidia-geforce-rtx3070ti-8gb-vision-oc,/producto/42353-msi-video-nvidia-geforce-rtx3070ti-8gb-gaming-x-trio,/producto/42996-asus-video-nvidia-geforce-rtx3070ti-8gb-rog-strix,/producto/39028-gigabyte-video-nvidia-geforce-rtx3080-10gb-eagle-gaming,/producto/40291-asus-video-amd-rx-6800xt-o16gb-rog-strix-lc-gaming,/producto/40718-asus-video-amd-radeon-rx-6900xt-o16g-tuf-gaming,/producto/43914-palit-video-nvidia-geforce-rtx3080-10gb-gamerock,/producto/43631-asus-video-nvidia-geforce-rtx3080-o10gb-rog-strix-v2,/producto/42671-gigabyte-video-nvidia-geforce-rtx3080-10gb-master-v2-0,/producto/42682-gigabyte-video-amd-radeon-rx-6900xt-16gb-aorus-xtreme-waterforce,/producto/42740-msi-video-nvidia-geforce-rtx3080-10gb-gaming-z-trio-lhr,/producto/43477-palit-video-nvidia-geforce-rtx3080ti-12gb-gamerock,/producto/42675-gigabyte-video-nvidia-geforce-rtx3080ti-gaming-oc-12g,/producto/42196-asus-video-nvidia-geforce-rtx3080ti-tuf-gaming-o12g,/producto/42238-msi-video-nvidia-geforce-rtx3080ti-12gb-gaming-x-trio,/producto/43630-asus-video-nvidia-geforce-rtx3080ti-tuf-gaming-12g,/producto/42673-gigabyte-video-nvidia-geforce-rtx3080ti-master-12g,/producto/42020-msi-video-amd-radeon-rx-6900xt-16gb-gaming-z-trio,/producto/42195-asus-video-nvidia-geforce-rtx3080ti-o12gb-rog-strix,/producto/43629-asus-video-nvidia-geforce-rtx3080ti-12gb-rog-strix-lc-gaming,/producto/43642-asus-video-amd-radeon-rx-6900xt-rog-strix-lc-gaming-16gb,/producto/38737-asus-video-nvidia-geforce-rtx3090-o24gb-tuf-gaming,/producto/39828-asus-video-nvidia-rtx3090-o24gb-rog-strix"
