,coin_name,coin_symbol,market_cap,percent_change_1h,percent_change_24h,percent_change_7d,price,volume_24h
55,maker,MKR,1976785565.1143525,-0.16850146,0.39547375,-10.73230753,2022.0159655320494,60699211.48818929
56,stacks,STX,1937890573.9827979,-0.27768286,-5.81269705,-4.88382562,1.4930094768662248,40938840.9757796
57,bitcoin-sv,BSV,1790076523.7988245,-0.78068172,-2.84973727,-2.79007081,94.32677596748795,98632075.94789413
58,zcash,ZEC,1636855434.0912738,-1.62564834,-4.3082211,3.23347009,119.20967883764112,300508369.5287202
59,quant,QNT,1612380530.8176944,-1.06123615,0.45059147,0.41227685,133.55549758618918,61328916.83109784
60,ecash,XEC,1580940212.7958574,-0.93438316,-5.87549311,-0.44763517,8.330713586769082e-05,37921528.37600737
61,enjin-coin,ENJ,1567895952.7137203,-1.43083833,-4.34985884,-3.49835247,1.8344482431305105,220449206.96382475
62,huobi-token,HT,1558273095.390906,-0.25132045,0.1167315,1.38000704,9.941660735805891,49293823.76069856
63,neo,NEO,1543212270.9403903,-0.51514731,-8.43419394,-0.76728763,21.877485762989046,141146636.0382669
64,kucoin-token,KCS,1536853230.2822073,-0.38193384,-3.45013701,-2.23355285,19.182218627857942,14982494.85669979
65,trueusd,TUSD,1478633665.2623096,-0.04811918,-0.06022839,-0.00347325,0.9995868666345502,139643043.71304518
66,kusama,KSM,1430373312.6382623,-1.11526143,-2.17566703,-8.74517213,168.87328847531987,45494431.364297
67,thorchain,RUNE,1363039814.6553187,-1.08204135,-4.10413133,-12.60289329,4.121829524643009,60498122.1172196
68,amp,AMP,1325784001.905457,-2.01231034,-8.80500925,0.74287768,0.03139607256075141,109817410.84479435
69,curve-dao-token,CRV,1303338852.0636258,-1.83919769,-2.35765741,-14.83120094,2.9378825038612946,272133041.0492816
70,okb,OKB,1277784870.7996302,-0.56876826,-1.72210594,-3.1656839,21.296414513327168,256560885.74365368
71,kadena,KDA,1280047471.6470065,-2.29152589,-5.316057,22.59136262,7.627681323799134,94983598.87391229
72,loopring,LRC,1271010242.6066637,-1.44893313,-9.08902743,0.20412055,0.956187848278773,317125673.9578217
73,celo,CELO,1256093484.6388388,-0.63809273,-1.39603653,-5.48180461,3.082542760180428,82919429.52323844
74,convex-finance,CVX,1244417204.3747003,-0.00859802,-1.43892306,-12.34515942,25.0863933003679,17963591.45780788
75,chiliz,CHZ,1243163453.0993602,-0.4379714,-3.36874811,-0.15610808,0.20805845988598792,150982318.8533029
76,basic-attention-token,BAT,1219426585.568831,-0.73416133,-4.28334404,-11.59032128,0.8153506277208669,121283422.16023117
77,nexo,NEXO,1152360142.2601264,-1.12164597,1.18459448,-6.42209514,2.0577859279008592,6226605.06492517
78,arweave,AR,1122960649.163999,-0.19760661,-1.18888254,-13.67614563,33.62691132236815,44185718.61971726
79,oasis-network,ROSE,1111923723.7055242,-1.25491974,-3.70726648,-9.88021353,0.3183278470135165,186924934.53333628
80,dash,DASH,1110360424.5143702,-0.76292246,-4.35214362,1.89228223,104.99129476097896,178648040.55021122
81,theta-fuel,TFUEL,1088987131.4847188,-0.82561323,-3.00970204,1.54961372,0.20542220127613003,61034894.55558264
82,waves,WAVES,1040380906.8398712,-1.23347987,-5.97623489,-1.84094761,9.680216018672098,142203355.9361629
83,nem,XEM,986764821.1896672,-0.65390223,-3.1704615,-1.89233452,0.10964053569992308,26123716.44628441
84,symbol,XYM,971584808.5716109,0.39056726,-2.69248435,-6.90854163,0.1740424128033619,6137509.40531598
85,mina,MINA,949480985.2392871,-0.00346381,-3.57270061,-12.34238712,2.527955105759022,43196025.42115851
86,paxos-standard,USDP,944408746.1898253,-0.2709927,0.07894513,-0.12415226,0.9986948626507685,9365280.19659217
