,modelo,stock
1,1650,341
2,1050TI,161
3,3060TI,125
4,1660TI,123
5,3070,106
6,6900XT,87
7,3070TI,76
8,3060,59
9,1660,51
10,3050,50
11,3080TI,50
12,3080,47
13,6600XT,31
14,6600,19
15,6700,10
16,1660S,3
17,2060,2
18,3090,1
